freq,unit,na_item,geo\TIME_PERIOD	2023 
A,CP_MEUR,B1GQ,AT	478190.1 
A,CP_MEUR,B1GQ,BE	584698.9 p
A,CP_MEUR,B1GQ,BG	93948.0 p
A,CP_MEUR,B1GQ,CY	29807.2 p
A,CP_MEUR,B1GQ,CZ	305966.5 
A,CP_MEUR,B1GQ,DE	4122210.0 p
A,CP_MEUR,B1GQ,DK	373754.7 
A,CP_MEUR,B1GQ,EE	37682.4 
A,CP_MEUR,B1GQ,EL	220302.6 p
A,CP_MEUR,B1GQ,ES	1461889.0 p
A,CP_MEUR,B1GQ,FI	277625.0 
A,CP_MEUR,B1GQ,FR	2803100.0 p
A,CP_MEUR,B1GQ,HR	76471.7 p
A,CP_MEUR,B1GQ,HU	196391.4 p
A,CP_MEUR,B1GQ,IE	504619.7 
A,CP_MEUR,B1GQ,IT	2085375.6 
A,CP_MEUR,B1GQ,LT	71986.2 
A,CP_MEUR,B1GQ,LU	79309.6 p
A,CP_MEUR,B1GQ,LV	40348.0 
A,CP_MEUR,B1GQ,MT	19417.8 
A,CP_MEUR,B1GQ,NL	1034086.0 p
A,CP_MEUR,B1GQ,PL	750800.7 
A,CP_MEUR,B1GQ,PT	265507.9 p
A,CP_MEUR,B1GQ,RO	324578.2 p
A,CP_MEUR,B1GQ,SE	540651.8 
A,CP_MEUR,B1GQ,SI	63089.6 
A,CP_MEUR,B1GQ,SK	122812.8 
